frame_name;position;guessed_gender;actor;gender;top;right;bottom;left
50_50 (2011)-137339.jpeg;[291.35687  -17.416702 532.28955  319.6883  ];M;Joseph_Gordon_Levitt;M;430;5130;2660;2910
50_50 (2011)-17352.jpeg;[333.03857  60.30435 482.5807  262.35162];M;Joseph_Gordon_Levitt;M;980;4760;2530;3220
50_50 (2011)-18453.jpeg;[258.89948  30.15284 409.65988 235.09262];M;Joseph_Gordon_Levitt;M;810;4080;2360;2530
50_50 (2011)-19195.jpeg;[334.3344    35.047287 500.38647  254.90251 ];M;Joseph_Gordon_Levitt;M;770;5100;2630;3240
50_50 (2011)-21109.jpeg;[ 97.78235  45.34449 188.59488 169.78908];F;Anjelica_Huston;F;680;1990;1750;910
50_50 (2011)-21109.jpeg;[327.51273   41.092743 415.14893  164.20055 ];M;Anjelica_Huston;F;680;1990;1750;910
50_50 (2011)-21109.jpeg;[498.4034   83.57027 570.7823  190.76729];M;Anjelica_Huston;F;680;1990;1750;910
50_50 (2011)-21675.jpeg;[345.5503   58.79227 425.5948  169.25287];F;Anjelica_Huston;F;760;4240;1660;3350
50_50 (2011)-22147.jpeg;[336.87665   40.224747 477.50177  221.78114 ];F;Anjelica_Huston;F;820;4680;2110;3390
50_50 (2011)-22393.jpeg;[350.42853  79.87731 474.1225  253.15369];F;Anjelica_Huston;F;1160;4940;2700;3390
50_50 (2011)-22393.jpeg;[  4.62014   60.496765 179.9273   342.68738 ];M;Anjelica_Huston;F;1160;4940;2700;3390
50_50 (2011)-22778.jpeg;[377.59622  80.87706 501.80817 258.60608];F;Anjelica_Huston;F;1250;4970;2540;3680
50_50 (2011)-22896.jpeg;[187.2742    64.220375 320.24796  246.91226 ];M;Joseph_Gordon_Levitt;M;810;3220;2360;1670
50_50 (2011)-23162.jpeg;[381.75418   52.913578 463.116    166.07928 ];F;Anjelica_Huston;F;760;4640;1660;3740
50_50 (2011)-23236.jpeg;[381.4104    52.773884 462.3714   167.95834 ];F;Anjelica_Huston;F;560;4620;1630;3540
50_50 (2011)-23398.jpeg;[352.48636  71.5086  435.0279  185.1219 ];F;Anjelica_Huston;F;960;4340;1860;3440
50_50 (2011)-23398.jpeg;[128.5636    59.343422 211.645    223.66455 ];F;Anjelica_Huston;F;960;4340;1860;3440
50_50 (2011)-23605.jpeg;[384.9666   73.01311 504.21335 231.16068];F;Anjelica_Huston;F;960;5110;2250;3820
50_50 (2011)-23810.jpeg;[389.3373    54.805767 471.57327  171.25848 ];F;Anjelica_Huston;F;680;4740;1750;3660
50_50 (2011)-27711.jpeg;[215.66174   48.534893 297.24063  154.9511  ];F;Anna_Kendrick;F;660;3050;1560;2150
50_50 (2011)-29592.jpeg;[166.73917 112.5442  293.4452  270.04718];F;Anna_Kendrick;F;1390;2960;2680;1670
50_50 (2011)-29870.jpeg;[106.7603    55.858086 209.43813  190.62788 ];F;Anna_Kendrick;F;800;2230;1870;1150
50_50 (2011)-31054.jpeg;[315.24817  42.32087 419.0607  187.7974 ];M;Joseph_Gordon_Levitt;M;800;4260;1870;3180
50_50 (2011)-31054.jpeg;[160.31302 114.00769 253.1344  242.6889 ];F;Joseph_Gordon_Levitt;M;800;4260;1870;3180
50_50 (2011)-31281.jpeg;[356.58282   55.877502 458.73007  198.60826 ];M;Joseph_Gordon_Levitt;M;920;4620;1990;3540
50_50 (2011)-31281.jpeg;[143.76068 119.97089 230.11995 240.42072];F;Joseph_Gordon_Levitt;M;920;4620;1990;3540
50_50 (2011)-33476.jpeg;[298.47372   47.823296 389.5492   172.6708  ];M;Joseph_Gordon_Levitt;M;760;3840;1660;2950
50_50 (2011)-45577.jpeg;[296.30878  78.55799 438.43536 275.91977];M;Joseph_Gordon_Levitt;M;1160;4420;2700;2870
50_50 (2011)-45577.jpeg;[141.29456   70.066605 228.79245  197.11386 ];M;Joseph_Gordon_Levitt;M;1160;4420;2700;2870
50_50 (2011)-47121.jpeg;[315.83862   40.720825 478.8743   283.3061  ];M;Joseph_Gordon_Levitt;M;770;4890;2630;3040
50_50 (2011)-47121.jpeg;[141.4256    62.014404 243.66858  208.49117 ];M;Joseph_Gordon_Levitt;M;770;4890;2630;3040
50_50 (2011)-51524.jpeg;[407.3606   67.957   488.00616 175.69814];M;Joseph_Gordon_Levitt;M;860;4840;1760;3940
50_50 (2011)-51524.jpeg;[200.1413   64.21822 262.27567 198.49042];M;Joseph_Gordon_Levitt;M;860;4840;1760;3940
50_50 (2011)-52064.jpeg;[284.59192  74.76956 423.09314 255.38614];M;Joseph_Gordon_Levitt;M;980;4250;2530;2700
50_50 (2011)-68775.jpeg;[406.1823   80.51556 485.15594 183.95116];M;Joseph_Gordon_Levitt;M;860;2050;1760;1160
50_50 (2011)-68775.jpeg;[106.463936  71.81506  186.65852  181.3266  ];M;Joseph_Gordon_Levitt;M;860;2050;1760;1160
50_50 (2011)-73994.jpeg;[400.4759   52.03108 470.04385 139.84654];F;Anna_Kendrick;F;630;4780;1380;4030
50_50 (2011)-74420.jpeg;[447.01312   48.488434 515.0271   140.35986 ];F;Anna_Kendrick;F;630;5190;1380;4440
50_50 (2011)-74930.jpeg;[215.08455   68.108406 335.47815  230.55368 ];F;Anna_Kendrick;F;960;3390;2250;2100
50_50 (2011)-80742.jpeg;[374.09283 134.33313 448.69492 240.29764];F;Anna_Kendrick;F;1460;4540;2360;3640
50_50 (2011)-93117.jpeg;[342.124    73.78145 430.23053 181.88531];M;Joseph_Gordon_Levitt;M;860;4240;1760;3350
50_50 (2011)-97648.jpeg;[259.97015  67.9411  315.24274 142.819  ];F;Anna_Kendrick;F;840;3190;1360;2680
50_50 (2011)-99261.jpeg;[241.68787   56.964127 334.5971   175.69528 ];F;Anna_Kendrick;F;760;3350;1660;2450
AmericanFiction-122813.jpeg;[299.14706  30.05297 395.81857 168.1265 ];M;Jeffrey_Wright;M;560;3900;1630;2820
AmericanFiction-122939.jpeg;[274.91388   35.135487 369.2984   164.47205 ];M;Jeffrey_Wright;M;560;3660;1630;2590
AmericanFiction-126443.jpeg;[174.34615  92.60216 229.9697  160.22345];F;Jeffrey_Wright;M;360;3740;1260;2850
AmericanFiction-126443.jpeg;[298.75064   31.102757 372.28796  129.46727 ];M;Jeffrey_Wright;M;360;3740;1260;2850
AmericanFiction-133182.jpeg;[383.81476   33.843716 464.90024  161.89398 ];M;Sterling_K_Brown;M;560;4640;1460;3740
AmericanFiction-133432.jpeg;[369.1359    42.429382 453.13254  162.63983 ];M;Sterling_K_Brown;M;660;4540;1560;3640
AmericanFiction-133868.jpeg;[374.33997   42.791595 458.9566   162.33057 ];M;Sterling_K_Brown;M;660;4540;1560;3640
AmericanFiction-139861.jpeg;[156.92744   20.592499 222.99763  116.76195 ];M;Jeffrey_Wright;M;460;2250;1080;1630
AmericanFiction-140102.jpeg;[173.07704   23.482437 238.30586  120.44126 ];M;Jeffrey_Wright;M;470;2450;1210;1710
AmericanFiction-140242.jpeg;[158.68796   21.565247 223.47214  119.789536];M;Jeffrey_Wright;M;470;2290;1210;1540
AmericanFiction-14195.jpeg;[162.6927   38.77185 240.54951 141.6551 ];M;Jeffrey_Wright;M;460;2550;1360;1650
AmericanFiction-141999.jpeg;[259.23557   29.268639 388.90173  233.85304 ];M;Jeffrey_Wright;M;810;4080;2360;2530
AmericanFiction-142728.jpeg;[179.8916    23.467129 244.70908  119.900635];M;Jeffrey_Wright;M;470;2540;1210;1790
AmericanFiction-142872.jpeg;[141.7492    22.5452   210.22116  123.894806];M;Jeffrey_Wright;M;470;2200;1210;1460
AmericanFiction-143171.jpeg;[150.17642   22.916328 216.4737   116.57597 ];M;Jeffrey_Wright;M;470;2200;1210;1460
AmericanFiction-149280.jpeg;[350.71252  29.21009 412.83102 111.56112];M;Jeffrey_Wright;M;460;4050;1080;3420
AmericanFiction-149280.jpeg;[164.85442 204.68802 240.39182 273.0664 ];M;Jeffrey_Wright;M;460;4050;1080;3420
AmericanFiction-149280.jpeg;[ 72.268234 163.391    103.58914  200.42934 ];M;Jeffrey_Wright;M;460;4050;1080;3420
AmericanFiction-149280.jpeg;[512.22327 127.7442  551.84546 176.59018];M;Jeffrey_Wright;M;460;4050;1080;3420
AmericanFiction-149280.jpeg;[ 92.192566 148.60208  118.91811  180.40314 ];M;Jeffrey_Wright;M;460;4050;1080;3420
AmericanFiction-149657.jpeg;[299.34964  65.24963 363.69476 146.93893];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[536.64386 149.9675  561.0407  180.75365];F;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[417.4502  155.61368 445.67838 194.0461 ];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[ -1.3458385 136.02083    20.358892  165.80302  ];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[432.0596  182.82646 472.2821  232.74942];F;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[ 33.868675 122.57734   49.725243 141.74687 ];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[162.87334 131.07355 177.77797 150.14398];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[448.4339   116.293175 460.70425  131.59328 ];F;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[486.36542 117.57449 502.76047 140.11736];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[189.46098  125.758156 209.12585  150.12492 ];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[421.95273 107.27174 431.51556 119.65399];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[562.6513  109.06905 572.8626  122.11421];F;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-149657.jpeg;[576.6433  106.85899 587.16016 119.61131];M;Jeffrey_Wright;M;800;3630;1420;3010
AmericanFiction-27927.jpeg;[184.82474   25.970009 262.95172  137.47824 ];M;Jeffrey_Wright;M;460;2750;1360;1850
AmericanFiction-27927.jpeg;[417.73315  16.16151 486.29852 141.26724];M;Jeffrey_Wright;M;460;2750;1360;1850
AmericanFiction-28056.jpeg;[174.38724   31.263557 302.0052   217.11945 ];M;Jeffrey_Wright;M;820;2960;2110;1670
AmericanFiction-48443.jpeg;[151.05797   27.241161 223.71284  131.84152 ];M;Jeffrey_Wright;M;460;2350;1360;1450
AmericanFiction-74664.jpeg;[384.27728   59.890717 474.90308  167.2089  ];M;Jeffrey_Wright;M;680;4740;1750;3660
AmericanFiction-82470.jpeg;[ 96.33467  95.36408 164.25284 180.81862];F;Jeffrey_Wright;M;240;5540;1530;4250
AmericanFiction-82470.jpeg;[448.2518    14.274506 554.4516   160.17307 ];M;Jeffrey_Wright;M;240;5540;1530;4250
AmericanFiction-87477.jpeg;[173.83334  48.72106 266.51062 181.03183];M;Jeffrey_Wright;M;860;2650;1760;1750
AmericanFiction-87666.jpeg;[471.02118   32.229675 555.52325  142.97528 ];M;Jeffrey_Wright;M;560;5540;1460;4640
AMinecraftMovie-54168.jpeg;[224.65016  73.74703 317.073   190.65962];M;Jack_Black;M;960;3200;1710;2450
AMinecraftMovie-82587.jpeg;[281.1173   72.474   363.4169  174.64497];M;Jack_Black;M;860;3640;1760;2750
AMinecraftMovie-92038.jpeg;[190.48773 102.33411 252.19507 181.68425];M;Jack_Black;M;760;3940;1660;3050
AMinecraftMovie-92038.jpeg;[307.75153  68.58309 403.072   189.84727];M;Jack_Black;M;760;3940;1660;3050
Barbie-53033.jpeg;[310.67413   46.076893 411.75467  195.53253 ];M;Will_Ferrell;M;800;4140;1870;3060
Barbie-58182.jpeg;[349.7613    56.230625 464.0353   202.75035 ];F;Ariana_Greenblatt;F;820;4680;2110;3390
Barbie-58427.jpeg;[322.1434   55.30739 438.0814  200.92078];F;Ariana_Greenblatt;F;670;4400;1960;3110
Barbie-58721.jpeg;[359.59198  55.26643 473.7442  203.74324];F;Ariana_Greenblatt;F;670;4680;1960;3390
Barbie-59447.jpeg;[373.3714    63.039833 488.7688   202.78554 ];F;Ariana_Greenblatt;F;820;4830;2110;3540
Barbie-64118.jpeg;[223.67647   55.242157 342.29147  226.16782 ];F;America_Ferrera;F;820;3540;2110;2250
Barbie-77110.jpeg;[442.97375  -41.212376 634.4717   250.42223 ];F;Ariana_Greenblatt;F;960;2390;2250;1100
Barbie-77110.jpeg;[123.372055  71.96837  244.59592  234.39122 ];F;Ariana_Greenblatt;F;960;2390;2250;1100
Barbie-77533.jpeg;[169.93132   50.482296 290.59305  216.80582 ];F;Ariana_Greenblatt;F;820;2820;2110;1530
Barbie-77533.jpeg;[406.18417  -30.247309 553.5943   225.29483 ];F;Ariana_Greenblatt;F;820;2820;2110;1530
BirdmanorTheUnexpectedVirtueofIgnorance-150203.jpeg;[517.6242    24.171429 598.04956  131.4069  ];M;Zach_Galifianakis;M;470;5850;1210;5110
BirdmanorTheUnexpectedVirtueofIgnorance-22533.jpeg;[203.14113   40.003284 317.08978  200.88052 ];M;Edward_Norton;M;470;3560;2020;2010
BirdmanorTheUnexpectedVirtueofIgnorance-22533.jpeg;[553.7346  -51.24064 706.116   255.27904];M;Edward_Norton;M;470;3560;2020;2010
BirdmanorTheUnexpectedVirtueofIgnorance-23243.jpeg;[233.21196   67.747284 313.8828   186.94977 ];M;Edward_Norton;M;960;3250;1860;2350
BirdmanorTheUnexpectedVirtueofIgnorance-49927.jpeg;[368.8148  211.57439 448.48468 309.6404 ];M;Edward_Norton;M;1180;3150;3410;920
BirdmanorTheUnexpectedVirtueofIgnorance-49927.jpeg;[106.42222   62.963516 288.46756  319.91797 ];M;Edward_Norton;M;1180;3150;3410;920
BirdmanorTheUnexpectedVirtueofIgnorance-49927.jpeg;[526.7599   89.42907 617.6361  267.20215];F;Edward_Norton;M;1180;3150;3410;920
BlackSwan-10487.jpeg;[303.56033   15.284248 436.2227   192.84119 ];F;Natalie_Portman;F;670;4400;1960;3110
BlackSwan-10487.jpeg;[464.69754   51.109783 545.1396   145.28891 ];F;Natalie_Portman;F;670;4400;1960;3110
BlackSwan-109987.jpeg;[265.1364   40.86052 413.84958 247.14001];F;Natalie_Portman;F;810;4080;2360;2530
BlackSwan-110677.jpeg;[301.33475  -33.869217 443.25125  159.47076 ];F;Natalie_Portman;F;0;4420;1500;2870
BlackSwan-110790.jpeg;[306.37616   13.482948 341.42722   61.957314];F;Natalie_Portman;F;170;3520;600;3090
BlackSwan-111512.jpeg;[194.3554   -14.113358 367.9337   239.62701 ];M;Vincent_Cassel;M;360;3860;2220;2010
BlackSwan-111849.jpeg;[140.19952 -17.03553 307.94507 227.13733];M;Vincent_Cassel;M;360;3240;2220;1390
BlackSwan-15686.jpeg;[486.07516  47.3533  562.55176 145.36977];M;Vincent_Cassel;M;560;5730;1460;4840
BlackSwan-15868.jpeg;[330.6366    22.694878 459.0765   187.90384 ];F;Mila_Kunis;F;530;4400;1820;3110
BlackSwan-15868.jpeg;[136.86086 -55.32065 249.80005  97.29805];M;Mila_Kunis;F;530;4400;1820;3110
BlackSwan-25522.jpeg;[269.6061     -6.1395493 420.5932    194.20306  ];F;Natalie_Portman;F;470;4250;2020;2700
BlackSwan-41732.jpeg;[285.13406   18.905006 415.55328  194.7927  ];F;Natalie_Portman;F;300;4080;1840;2530
BlackSwan-60480.jpeg;[139.74324   13.241058 327.17148  254.20047 ];M;Vincent_Cassel;M;570;3450;2420;1590
BlackSwan-60806.jpeg;[ 87.97112 -60.84413 312.5396  252.47067];M;Vincent_Cassel;M;190;3400;2420;1170
BlackSwan-60806.jpeg;[ 360.49792 -128.29538  659.4208   300.7345 ];F;Vincent_Cassel;M;190;3400;2420;1170
BlackSwan-61065.jpeg;[249.17828    4.526062 401.426    217.83838 ];M;Natalie_Portman;F;640;4080;2190;2530
BlackSwan-61162.jpeg;[226.52618   18.680618 359.73398  202.02829 ];M;Natalie_Portman;F;470;3730;2020;2180
BlackSwan-6707.jpeg;[233.91318      0.83898926 348.78644    158.06248   ];F;Barbara_Hershey;F;240;3680;1530;2390
BlackSwan-81640.jpeg;[263.37152     7.8153534 416.99265   213.42538  ];F;Barbara_Hershey;F;470;4080;2020;2530
BlackSwan-90574.jpeg;[172.24072   -8.144562 325.60745  206.37038 ];F;Natalie_Portman;F;150;3450;2010;1590
BlackSwan-91402.jpeg;[298.35358  -19.690353 470.91348  202.13625 ];F;Natalie_Portman;F;150;4890;2010;3040
BlackSwan-92205.jpeg;[277.44763  -21.378693 472.2007   244.03679 ];F;Natalie_Portman;F;190;4890;2420;2660
BlackSwan-92338.jpeg;[222.76863  -11.864044 440.46048  248.93292 ];F;Natalie_Portman;F;430;4390;2660;2160
BlackSwan-9341.jpeg;[262.98392   51.256844 338.87152  144.54239 ];F;Natalie_Portman;F;1860;1450;2660;560
BlackSwan-9341.jpeg;[236.20915   32.001167 261.11835   66.63091 ];F;Natalie_Portman;F;1860;1450;2660;560
BlackSwan-9341.jpeg;[381.18555  77.96373 408.81424 114.85661];F;Natalie_Portman;F;1860;1450;2660;560
BlackSwan-9341.jpeg;[ 68.3402  173.1469  144.84682 268.29492];F;Natalie_Portman;F;1860;1450;2660;560
BlackSwan-9341.jpeg;[535.9059    65.723076 564.05707  104.098495];M;Natalie_Portman;F;1860;1450;2660;560
BlackSwan-9341.jpeg;[226.2634   114.383316 236.84451  126.626366];F;Natalie_Portman;F;1860;1450;2660;560
CrazyStupidLove-118251.jpeg;[257.7741   26.97711 371.38498 188.29134];F;Lio_Tipton;F;530;3820;1820;2530
CrazyStupidLove-137251.jpeg;[506.51617   27.387615 686.3579   288.29263 ];M;Steve_Carell;M;770;6750;2630;4890
CrazyStupidLove-141251.jpeg;[479.89642  48.92366 618.2334  244.40768];M;Steve_Carell;M;810;6140;2360;4590
CrazyStupidLove-153001.jpeg;[418.91632  60.43412 556.1742  244.82228];F;Lio_Tipton;F;810;5450;2360;3900
CrazyStupidLove-158751.jpeg;[393.05908   57.269306 524.99774  231.02399 ];F;Lio_Tipton;F;810;5110;2360;3560
CrazyStupidLove-162751.jpeg;[443.12637  38.15393 540.8503  166.3775 ];M;Steve_Carell;M;390;5400;1680;4110
CrazyStupidLove-162751.jpeg;[338.81384  96.54196 365.21237 131.30635];F;Steve_Carell;M;390;5400;1680;4110
CrazyStupidLove-162751.jpeg;[394.56232 106.0861  421.04535 142.23846];F;Steve_Carell;M;390;5400;1680;4110
CrazyStupidLove-164751.jpeg;[502.83398  10.53561 610.01904 153.2991 ];F;Lio_Tipton;F;440;6050;1520;4970
CrazyStupidLove-39501.jpeg;[156.37512  28.61919 292.77365 218.68791];M;Steve_Carell;M;470;3220;2020;1670
CrazyStupidLove-39501.jpeg;[644.2669    39.868538 747.3402   250.12488 ];M;Steve_Carell;M;470;3220;2020;1670
CrazyStupidLove-72251.jpeg;[238.95546   32.870136 374.09335  216.48137 ];F;Lio_Tipton;F;640;3900;2190;2360
CrazyStupidLove-85501.jpeg;[312.67392   47.347763 431.69342  216.99268 ];M;Steve_Carell;M;820;4250;2110;2960
CrazyStupidLove-85751.jpeg;[295.35422   49.986614 415.63623  220.52568 ];M;Steve_Carell;M;820;4110;2110;2820
CrazyStupidLove-90751.jpeg;[556.6378    51.277946 667.8162   217.91988 ];M;Steve_Carell;M;820;6690;2110;5400
CrazyStupidLove-91251.jpeg;[521.8113   50.89202 629.9309  206.24573];M;Steve_Carell;M;820;6260;2110;4970
DeadpoolWolverine-114420.jpeg;[288.62222   57.486958 426.87653  248.92665 ];M;Hugh_Jackman;M;980;4420;2530;2870
DeadpoolWolverine-114420.jpeg;[739.8911  190.20558 850.22375 343.50467];M;Hugh_Jackman;M;980;4420;2530;2870
DeadpoolWolverine-121672.jpeg;[424.96075  -65.208466 697.655    301.4738  ];M;Hugh_Jackman;M;0;6690;3130;3480
DeadpoolWolverine-122365.jpeg;[411.71515 -65.89585 690.86835 322.94556];F;Emma_Corrin;F;0;6690;3130;3480
DeadpoolWolverine-123176.jpeg;[371.11365  -53.339794 630.56244  303.0185  ];M;Emma_Corrin;F;230;5870;2900;3190
DeadpoolWolverine-123176.jpeg;[-110.75031 -112.46858  158.89629  345.5261 ];F;Emma_Corrin;F;230;5870;2900;3190
DeadpoolWolverine-123652.jpeg;[257.70056   46.676834 392.78497  247.02919 ];M;Hugh_Jackman;M;980;4080;2530;2530
DeadpoolWolverine-124094.jpeg;[280.39893   68.969894 423.5446   269.78632 ];M;Hugh_Jackman;M;1160;4420;2700;2870
DeadpoolWolverine-125088.jpeg;[200.49106  56.22285 323.64612 234.47556];M;Hugh_Jackman;M;960;3390;2250;2100
DeadpoolWolverine-125716.jpeg;[280.65155   34.106964 428.45914  237.43619 ];M;Hugh_Jackman;M;810;4420;2360;2870
DeadpoolWolverine-126311.jpeg;[281.4698    47.244473 402.14948  220.6376  ];M;Hugh_Jackman;M;820;4110;2110;2820
DeadpoolWolverine-133031.jpeg;[441.5146    24.872976 508.70197  123.23984 ];M;Matthew_Macfadyen;M;470;5110;1210;4360
DeadpoolWolverine-133031.jpeg;[333.73526  99.39125 366.05267 144.438  ];M;Matthew_Macfadyen;M;470;5110;1210;4360
DeadpoolWolverine-133031.jpeg;[156.24988  90.59341 190.49016 139.87314];F;Matthew_Macfadyen;M;470;5110;1210;4360
DeadpoolWolverine-133669.jpeg;[398.58463     5.1072845 572.6583    250.18459  ];M;Emma_Corrin;F;1820;7550;3110;6260
DeadpoolWolverine-133669.jpeg;[634.442   126.79292 773.0859  316.86398];M;Emma_Corrin;F;1820;7550;3110;6260
DeadpoolWolverine-134249.jpeg;[189.16852    9.411765 352.69894  253.49939 ];F;Emma_Corrin;F;570;3860;2420;2010
DeadpoolWolverine-134249.jpeg;[351.55814  -50.670673 550.3099   243.86153 ];M;Emma_Corrin;F;570;3860;2420;2010
DeadpoolWolverine-139975.jpeg;[303.83176   41.974213 420.7116   225.27667 ];M;Ryan_Reynolds;M;670;4400;1960;3110
DeadpoolWolverine-140092.jpeg;[186.10272  67.45742 232.07497 131.05667];M;Ryan_Reynolds;M;780;2330;1300;1810
DeadpoolWolverine-140092.jpeg;[607.00665  92.24063 636.5394  127.84675];M;Ryan_Reynolds;M;780;2330;1300;1810
DeadpoolWolverine-140092.jpeg;[416.4976    38.965195 479.5194   117.66278 ];M;Ryan_Reynolds;M;780;2330;1300;1810
DeadpoolWolverine-141464.jpeg;[467.11185   44.818436 569.6222   192.54214 ];M;Ryan_Reynolds;M;680;5570;1750;4500
DeadpoolWolverine-141752.jpeg;[376.75372   32.971504 541.6803   279.77325 ];M;Ryan_Reynolds;M;360;5310;2220;3450
DeadpoolWolverine-168182.jpeg;[249.53177   53.006668 366.2804   214.47435 ];M;Hugh_Jackman;M;820;3540;2110;2250
DeadpoolWolverine-168182.jpeg;[507.74615   57.472176 670.58545  276.28583 ];M;Hugh_Jackman;M;820;3540;2110;2250
DeadpoolWolverine-28775.jpeg;[535.05743  64.33828 616.7345  192.52484];M;Matthew_Macfadyen;M;800;6170;1870;5090
DeadpoolWolverine-28775.jpeg;[279.17563  34.85872 372.39917 172.4839 ];M;Matthew_Macfadyen;M;800;6170;1870;5090
DeadpoolWolverine-28899.jpeg;[477.55038   52.163338 522.01556  120.7547  ];M;Matthew_Macfadyen;M;590;5150;1220;4530
DeadpoolWolverine-28899.jpeg;[312.70462  58.4747  359.8624  125.07742];M;Matthew_Macfadyen;M;590;5150;1220;4530
DeadpoolWolverine-28899.jpeg;[141.48222 172.19748 166.64793 206.01503];M;Matthew_Macfadyen;M;590;5150;1220;4530
DeadpoolWolverine-29225.jpeg;[441.76672   51.867977 494.70798  132.57027 ];M;Matthew_Macfadyen;M;660;4870;1290;4250
DeadpoolWolverine-29225.jpeg;[327.6599   45.07507 379.91974 116.23645];M;Matthew_Macfadyen;M;660;4870;1290;4250
DeadpoolWolverine-34393.jpeg;[419.8767    51.608913 497.7946   159.89604 ];M;Matthew_Macfadyen;M;660;5040;1560;4140
DeadpoolWolverine-36806.jpeg;[456.1677   46.37432 508.75635 122.41168];M;Matthew_Macfadyen;M;670;5040;1180;4520
DeadpoolWolverine-38045.jpeg;[467.41998  35.01712 597.1791  236.61192];M;Matthew_Macfadyen;M;810;5970;2360;4420
DeadpoolWolverine-38787.jpeg;[528.3001   46.28526 613.0962  177.14691];M;Matthew_Macfadyen;M;760;6030;1660;5140
DeadpoolWolverine-48288.jpeg;[377.2949    39.713036 507.67398  208.35487 ];M;Matthew_Macfadyen;M;470;5110;2020;3560
DeadpoolWolverine-53038.jpeg;[316.59778  -41.464386 559.9892   304.03275 ];M;Hugh_Jackman;M;0;5570;2600;2900
DeadpoolWolverine-58086.jpeg;[426.73358   50.263023 571.0393   226.46805 ];M;Aaron_Stanford;M;810;5800;2360;4250
DeadpoolWolverine-62740.jpeg;[370.62732  -23.166492 583.5396   290.57028 ];M;Hugh_Jackman;M;0;5870;2600;3190
